x,y
-1.01624596361444,0.256625076922482
-0.917350578608477,0.507030772828229
-0.741151903683758,0.741151903683749
-0.507030772828213,0.917350578608488
-0.459896075906278,-0.459896075906284
-0.256625076922501,1.01624596361443
-0.126217280731682,-0.126217280731676
-1.48772570830173e-15,-1.91141047230987e-15
0.126217280731679,0.126217280731682
0.256625076922502,-1.01624596361443
0.459896075906281,0.459896075906281
0.507030772828217,-0.917350578608486
0.74115190368376,-0.741151903683748
0.917350578608475,-0.50703077282823
1.01624596361443,-0.256625076922483
